""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"tensor(0.3789, device='cuda:0')"
"tensor(0.3011, device='cuda:0')"
"tensor(0.2043, device='cuda:0')"
"tensor(0.3051, device='cuda:0')"
"tensor(0.3448, device='cuda:0')"
"tensor(0.2565, device='cuda:0')"
"tensor(0.1794, device='cuda:0')"
"tensor(0.4270, device='cuda:0')"
"tensor(0.2064, device='cuda:0')"
"tensor(0.0802, device='cuda:0')"
"tensor(0.2196, device='cuda:0')"
"tensor(0.1588, device='cuda:0')"
"tensor(0.1882, device='cuda:0')"
"tensor(0.1071, device='cuda:0')"
"tensor(0.4273, device='cuda:0')"
"tensor(0.2394, device='cuda:0')"
"tensor(0.1637, device='cuda:0')"
"tensor(0.4126, device='cuda:0')"
"tensor(0.1691, device='cuda:0')"
"tensor(0.1703, device='cuda:0')"
"tensor(0.3214, device='cuda:0')"
"tensor(0.4299, device='cuda:0')"
"tensor(0.2640, device='cuda:0')"
"tensor(0.4205, device='cuda:0')"
"tensor(0.2310, device='cuda:0')"
"tensor(0.2973, device='cuda:0')"
"tensor(0.1754, device='cuda:0')"
"tensor(0.3386, device='cuda:0')"
"tensor(0.2475, device='cuda:0')"
"tensor(0.2223, device='cuda:0')"
"tensor(0.3776, device='cuda:0')"
"tensor(0.2048, device='cuda:0')"
"tensor(0.1818, device='cuda:0')"
"tensor(0.3940, device='cuda:0')"
"tensor(0.2167, device='cuda:0')"
"tensor(0.3344, device='cuda:0')"
"tensor(0.3691, device='cuda:0')"
"tensor(0.1411, device='cuda:0')"
"tensor(0.3535, device='cuda:0')"
"tensor(0.3076, device='cuda:0')"
"tensor(0.3515, device='cuda:0')"
"tensor(0.4430, device='cuda:0')"
"tensor(0.3553, device='cuda:0')"
"tensor(0.4456, device='cuda:0')"
"tensor(0.4989, device='cuda:0')"
"tensor(0.4457, device='cuda:0')"
"tensor(0.4036, device='cuda:0')"
"tensor(0.4433, device='cuda:0')"
"tensor(0.4101, device='cuda:0')"
"tensor(0.4729, device='cuda:0')"
"tensor(0.3452, device='cuda:0')"
"tensor(0.3274, device='cuda:0')"
"tensor(0.5451, device='cuda:0')"
